Vendor,Model,Build,Extract 22.2,Extract 22.1,Build 22.2,Build 22.1,Ebay,rootable,SOC,GPU,Released,Conflict
Samsung,Galaxy_Tab_S5e_Wifi,gts4lvwifi,fails,,,,,,Qualcomm SDM670 Snapdragon 670,,2019,
Samsung,Galaxy_S10,beyond1lte,fails,,,,,,Samsung Exynos 9820,,2019,
Samsung,Galaxy_S10_Plus,beyond2lte,fails,,,,,,Samsung Exynos 9820,,2019,
Samsung,Galaxy_S10_5G,beyondx,fails,,,,,,Samsung Exynos 9820,,2019,
Samsung,Galaxy_S10e,beyond0lte,fails,,,,,,Samsung Exynos 9820,,2019,
Samsung,Galaxy_Note_10_5G,d1x,fails,,,,,,Samsung Exynos 9825,,2019,
Samsung,Galaxy_Note_10_Plus,d2s,fails,,,,,,Samsung Exynos 9825,,2019,
Samsung,Galaxy_Note_10,d1,fails,,,,,,Samsung Exynos 9825,,2019,
Samsung,Galaxy_Note_10_Plus_5G,dx2,,,,,,,Samsung Exynos 9825,,2019,
Samsung,Galaxy_Tab_A7_Wifi,gta4lwifi,fails,,,,,,Qualcomm SM6115 Snapdragon 662,,2020,
Samsung,Galaxy_Tab_A7_Wifi,gta4xlwifi,fails,,,,,,Qualcomm SM6115 Snapdragon 662,,2020,
Samsung,Galaxy_Tab_A_10.4_LTE,gta4l,fails,,,,,,Qualcomm SM6115 Snapdragon 662,,2020,
Samsung,Galaxy_A71,a71,fails,,,,,,Qualcomm SM7150-AA Snapdragon 730,,2020,
Samsung,Galaxy_Tab_S7_Wifi,gts7lwifi,fails,,,,,,Qualcomm SM8250-AB Snapdragon 865+,,2020,
Samsung,Galaxy_Tab_S7_Wifi,gts7lwifi,,,,,,,Qualcomm SM8250-AB Snapdragon 865+,,2020,
Samsung,Galaxy_Tab_S7_LTE,gts7l,fails,,,,,,Qualcomm SM8250-AB Snapdragon 865+,,2020,
Samsung,Galaxy_A21s,a21s,fails,,,,,,Samsung Exynos 850,,2020,
Samsung,Galaxy_Tab_S6_LTE,gta4xl,fails,,,,,,Samsung Exynos 9611,,2020,
Samsung,Galaxy_A72,a72q,fails,,,,,,Qualcomm SM7125 Snapdragon 720G,,2021,
Samsung,Galaxy_A52_4G,a52q,fails,,,,,,Qualcomm SM7125 Snapdragon 720G,,2021,
Samsung,Galaxy_M52_5G,m52xq,fails,,,,,,Qualcomm SM7325 Snapdragon 778G 5G,,2021,
Samsung,Galaxy_A52s_5G,a52sxq,fails,,,,,,Qualcomm SM7325 Snapdragon 778G 5G,,2021,
Samsung,Galaxy_S20_FE,r8q,fails,,,,,,Qualcomm SM8250 Snapdragon 865,,2021,
Samsung,Galaxy_F62,f62,fails,,,,,,Samsung Exynos 9825,,2021,
Samsung,Galaxy_A73_5G,a73xq,fails,,,,,,Qualcomm SM7325 Snapdragon 778G 5G,,2022,
Samsung,Galaxy_Tab_S5e_LTE,gts4lv,fails,,,,,,Qualcomm SDM670 Snapdragon 670,,,
,,,,,,,,,,,,
LGE,V30,joan,fails,,,,,,Qualcomm MSM8998 Snapdragon 835,,2017,
